no,entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl_pips,profit_usd,profit_inr,equity_inr,bars_held
20,2021-01-04 03:17:00,2021-01-04 03:18:00,SELL,1921.548,1921.948,1918.348,1921.948,loss,-4.0,-0.4,-33.2,99634.8,2
21,2021-01-04 03:20:00,2021-01-04 03:20:00,SELL,1922.218,1922.618,1919.018,1922.618,loss,-4.0,-0.4,-33.2,99601.6,1
22,2021-01-04 03:22:00,2021-01-04 03:23:00,SELL,1922.355,1922.755,1919.155,1922.755,loss,-4.0,-0.4,-33.2,99568.4,2
23,2021-01-04 03:25:00,2021-01-04 03:28:00,SELL,1922.615,1923.015,1919.415,1923.015,loss,-4.0,-0.4,-33.2,99535.2,4
24,2021-01-04 03:30:00,2021-01-04 03:37:00,SELL,1923.078,1923.478,1919.878,1923.478,loss,-4.0,-0.4,-33.2,99502.0,8
25,2021-01-04 03:39:00,2021-01-04 03:39:00,SELL,1923.375,1923.775,1920.175,1923.775,loss,-4.0,-0.4,-33.2,99468.8,1
26,2021-01-04 03:42:00,2021-01-04 03:42:00,SELL,1923.975,1924.375,1920.775,1924.375,loss,-4.0,-0.4,-33.2,99435.6,1
27,2021-01-04 03:47:00,2021-01-04 04:40:00,SELL,1923.855,1924.255,1920.655,1920.655,win,32.0,3.2,265.6,99701.2,54
28,2021-01-04 04:51:00,2021-01-04 05:22:00,SELL,1922.595,1922.995,1919.395,1919.395,win,32.0,3.2,265.6,99966.8,32
29,2021-01-04 05:25:00,2021-01-04 05:28:00,SELL,1919.568,1919.968,1916.368,1919.968,loss,-4.0,-0.4,-33.2,99933.6,4
30,2021-01-04 05:34:00,2021-01-04 05:34:00,SELL,1921.175,1921.575,1917.975,1921.575,loss,-4.0,-0.4,-33.2,99900.4,1
31,2021-01-04 05:36:00,2021-01-04 06:00:00,SELL,1921.218,1921.618,1918.018,1921.618,loss,-4.0,-0.4,-33.2,99867.2,25
32,2021-01-04 06:03:00,2021-01-04 06:04:00,SELL,1922.165,1922.565,1918.965,1922.565,loss,-4.0,-0.4,-33.2,99834.0,2
33,2021-01-04 06:05:00,2021-01-04 06:09:00,SELL,1922.315,1922.715,1919.115,1922.715,loss,-4.0,-0.4,-33.2,99800.8,5
34,2021-01-04 06:11:00,2021-01-04 06:19:00,SELL,1923.375,1923.775,1920.175,1923.775,loss,-4.0,-0.4,-33.2,99767.6,9
35,2021-01-04 06:26:00,2021-01-04 07:37:00,SELL,1925.018,1925.418,1921.818,1925.418,loss,-4.0,-0.4,-33.2,99734.4,72
36,2021-01-04 07:38:00,2021-01-04 08:00:00,SELL,1924.708,1925.108,1921.508,1925.108,loss,-4.0,-0.4,-33.2,99701.2,23
37,2021-01-04 08:04:00,2021-01-04 08:04:00,SELL,1927.015,1927.415,1923.815,1927.415,loss,-4.0,-0.4,-33.2,99668.0,1
38,2021-01-04 08:08:00,2021-01-04 08:08:00,SELL,1927.425,1927.825,1924.225,1927.825,loss,-4.0,-0.4,-33.2,99634.8,1
39,2021-01-04 08:10:00,2021-01-04 08:13:00,SELL,1927.798,1928.198,1924.598,1928.198,loss,-4.0,-0.4,-33.2,99601.6,4
40,2021-01-04 08:15:00,2021-01-04 08:17:00,SELL,1927.579,1927.979,1924.379,1927.979,loss,-4.0,-0.4,-33.2,99568.4,3
41,2021-01-04 08:25:00,2021-01-04 08:27:00,SELL,1932.775,1933.175,1929.575,1933.175,loss,-4.0,-0.4,-33.2,99535.2,3
42,2021-01-04 08:29:00,2021-01-04 08:29:00,SELL,1934.035,1934.435,1930.835,1934.435,loss,-4.0,-0.4,-33.2,99502.0,1
43,2021-01-04 08:31:00,2021-01-04 08:50:00,SELL,1934.425,1934.825,1931.225,1931.225,win,32.0,3.2,265.6,99767.6,20
44,2021-01-04 08:51:00,2021-01-04 08:51:00,SELL,1931.298,1931.698,1928.098,1931.698,loss,-4.0,-0.4,-33.2,99734.4,1
45,2021-01-04 08:55:00,2021-01-04 08:55:00,SELL,1931.975,1932.375,1928.775,1932.375,loss,-4.0,-0.4,-33.2,99701.2,1
46,2021-01-04 08:57:00,2021-01-04 09:05:00,SELL,1932.415,1932.815,1929.215,1932.815,loss,-4.0,-0.4,-33.2,99668.0,9
47,2021-01-04 09:10:00,2021-01-04 09:13:00,SELL,1933.075,1933.475,1929.875,1933.475,loss,-4.0,-0.4,-33.2,99634.8,4
48,2021-01-04 09:14:00,2021-01-04 09:33:00,SELL,1932.393,1932.793,1929.193,1932.793,loss,-4.0,-0.4,-33.2,99601.6,20
49,2021-01-04 09:34:00,2021-01-04 10:26:00,SELL,1932.655,1933.055,1929.455,1929.455,win,32.0,3.2,265.6,99867.2,53
50,2021-01-04 10:37:00,2021-01-04 10:43:00,SELL,1930.494,1930.894,1927.294,1930.894,loss,-4.0,-0.4,-33.2,99834.0,7
51,2021-01-04 10:46:00,2021-01-04 10:47:00,SELL,1931.655,1932.055,1928.455,1932.055,loss,-4.0,-0.4,-33.2,99800.8,2
52,2021-01-04 10:49:00,2021-01-04 10:51:00,SELL,1932.328,1932.728,1929.128,1932.728,loss,-4.0,-0.4,-33.2,99767.6,3
53,2021-01-04 10:56:00,2021-01-04 10:56:00,SELL,1933.645,1934.045,1930.445,1934.045,loss,-4.0,-0.4,-33.2,99734.4,1
54,2021-01-04 10:58:00,2021-01-04 11:01:00,SELL,1933.638,1934.038,1930.438,1934.038,loss,-4.0,-0.4,-33.2,99701.2,4
55,2021-01-04 11:05:00,2021-01-04 11:17:00,SELL,1934.988,1935.388,1931.788,1935.388,loss,-4.0,-0.4,-33.2,99668.0,13
56,2021-01-04 11:18:00,2021-01-04 11:19:00,SELL,1935.035,1935.435,1931.835,1935.435,loss,-4.0,-0.4,-33.2,99634.8,2
57,2021-01-04 11:21:00,2021-01-04 11:27:00,SELL,1934.985,1935.385,1931.785,1935.385,loss,-4.0,-0.4,-33.2,99601.6,7
58,2021-01-04 11:29:00,2021-01-04 11:32:00,SELL,1935.075,1935.475,1931.875,1935.475,loss,-4.0,-0.4,-33.2,99568.4,4
59,2021-01-04 11:34:00,2021-01-04 11:34:00,SELL,1935.075,1935.475,1931.875,1935.475,loss,-4.0,-0.4,-33.2,99535.2,1
60,2021-01-04 11:37:00,2021-01-04 11:39:00,SELL,1935.645,1936.045,1932.445,1936.045,loss,-4.0,-0.4,-33.2,99502.0,3
61,2021-01-04 11:49:00,2021-01-04 11:49:00,SELL,1934.995,1935.395,1931.795,1935.395,loss,-4.0,-0.4,-33.2,99468.8,1
62,2021-01-04 11:51:00,2021-01-04 12:03:00,SELL,1934.958,1935.358,1931.758,1931.758,win,32.0,3.2,265.6,99734.4,13
63,2021-01-04 12:12:00,2021-01-04 12:16:00,SELL,1933.875,1934.275,1930.675,1934.275,loss,-4.0,-0.4,-33.2,99701.2,5
64,2021-01-04 12:18:00,2021-01-04 12:20:00,SELL,1933.645,1934.045,1930.445,1934.045,loss,-4.0,-0.4,-33.2,99668.0,3
65,2021-01-04 12:22:00,2021-01-04 12:45:00,SELL,1934.138,1934.538,1930.938,1930.938,win,32.0,3.2,265.6,99933.6,24
66,2021-01-04 12:48:00,2021-01-04 12:52:00,SELL,1930.678,1931.078,1927.478,1931.078,loss,-4.0,-0.4,-33.2,99900.4,5
67,2021-01-04 12:55:00,2021-01-04 12:57:00,SELL,1930.708,1931.108,1927.508,1931.108,loss,-4.0,-0.4,-33.2,99867.2,3
68,2021-01-04 13:02:00,2021-01-04 13:02:00,SELL,1932.468,1932.868,1929.268,1932.868,loss,-4.0,-0.4,-33.2,99834.0,1
69,2021-01-04 13:09:00,2021-01-04 13:09:00,SELL,1930.778,1931.178,1927.578,1931.178,loss,-4.0,-0.4,-33.2,99800.8,1
70,2021-01-04 13:15:00,2021-01-04 13:15:00,SELL,1933.838,1934.238,1930.638,1934.238,loss,-4.0,-0.4,-33.2,99767.6,1
71,2021-01-04 13:17:00,2021-01-04 13:17:00,SELL,1934.355,1934.755,1931.155,1934.755,loss,-4.0,-0.4,-33.2,99734.4,1
72,2021-01-04 13:21:00,2021-01-04 13:21:00,SELL,1936.45,1936.85,1933.25,1936.85,loss,-4.0,-0.4,-33.2,99701.2,1
73,2021-01-04 13:23:00,2021-01-04 13:23:00,SELL,1937.325,1937.725,1934.125,1937.725,loss,-4.0,-0.4,-33.2,99668.0,1
74,2021-01-04 13:30:00,2021-01-04 13:30:00,SELL,1936.978,1937.378,1933.778,1937.378,loss,-4.0,-0.4,-33.2,99634.8,1
75,2021-01-04 13:35:00,2021-01-04 13:35:00,SELL,1940.425,1940.825,1937.225,1940.825,loss,-4.0,-0.4,-33.2,99601.6,1
76,2021-01-04 13:41:00,2021-01-04 14:16:00,SELL,1940.855,1941.255,1937.655,1937.655,win,32.0,3.2,265.6,99867.2,36
77,2021-01-04 14:20:00,2021-01-04 14:20:00,SELL,1939.108,1939.508,1935.908,1939.508,loss,-4.0,-0.4,-33.2,99834.0,1
78,2021-01-04 14:25:00,2021-01-04 14:33:00,SELL,1941.275,1941.675,1938.075,1938.075,win,32.0,3.2,265.6,100099.6,9
79,2021-01-04 14:35:00,2021-01-04 14:35:00,SELL,1938.638,1939.038,1935.438,1939.038,loss,-4.0,-0.4,-33.2,100066.4,1
80,2021-01-04 14:44:00,2021-01-04 14:50:00,SELL,1942.008,1942.408,1938.808,1942.408,loss,-4.0,-0.4,-33.2,100033.2,7
81,2021-01-04 14:52:00,2021-01-04 14:52:00,SELL,1942.545,1942.945,1939.345,1942.945,loss,-4.0,-0.4,-33.2,100000.0,1
82,2021-01-04 14:54:00,2021-01-04 14:54:00,SELL,1942.645,1943.045,1939.445,1943.045,loss,-4.0,-0.4,-33.2,99966.8,1
83,2021-01-04 14:56:00,2021-01-04 14:57:00,SELL,1942.345,1942.745,1939.145,1942.745,loss,-4.0,-0.4,-33.2,99933.6,2
84,2021-01-04 14:58:00,2021-01-04 15:00:00,SELL,1942.138,1942.538,1938.938,1942.538,loss,-4.0,-0.4,-33.2,99900.4,3
85,2021-01-04 15:03:00,2021-01-04 15:08:00,SELL,1943.278,1943.678,1940.078,1940.078,win,32.0,3.2,265.6,100166.0,6
86,2021-01-04 15:12:00,2021-01-04 15:12:00,SELL,1933.295,1933.695,1930.095,1933.695,loss,-4.0,-0.4,-33.2,100132.8,1
87,2021-01-04 15:17:00,2021-01-04 15:17:00,SELL,1931.218,1931.618,1928.018,1931.618,loss,-4.0,-0.4,-33.2,100099.6,1
88,2021-01-04 15:19:00,2021-01-04 15:19:00,SELL,1931.148,1931.548,1927.948,1931.548,loss,-4.0,-0.4,-33.2,100066.4,1
89,2021-01-04 15:26:00,2021-01-04 15:26:00,SELL,1934.938,1935.338,1931.738,1935.338,loss,-4.0,-0.4,-33.2,100033.2,1
90,2021-01-04 15:28:00,2021-01-04 15:37:00,SELL,1935.198,1935.598,1931.998,1935.598,loss,-4.0,-0.4,-33.2,100000.0,10
91,2021-01-04 15:41:00,2021-01-04 15:41:00,SELL,1939.425,1939.825,1936.225,1939.825,loss,-4.0,-0.4,-33.2,99966.8,1
92,2021-01-04 15:44:00,2021-01-04 15:44:00,SELL,1939.515,1939.915,1936.315,1939.915,loss,-4.0,-0.4,-33.2,99933.6,1
93,2021-01-04 15:46:00,2021-01-04 15:51:00,SELL,1939.635,1940.035,1936.435,1940.035,loss,-4.0,-0.4,-33.2,99900.4,6
94,2021-01-04 15:59:00,2021-01-04 15:59:00,SELL,1942.418,1942.818,1939.218,1942.818,loss,-4.0,-0.4,-33.2,99867.2,1
95,2021-01-04 16:03:00,2021-01-04 16:08:00,SELL,1942.068,1942.468,1938.868,1938.868,win,32.0,3.2,265.6,100132.8,6
96,2021-01-04 16:11:00,2021-01-04 16:12:00,SELL,1937.828,1938.228,1934.628,1938.228,loss,-4.0,-0.4,-33.2,100099.6,2
97,2021-01-04 16:15:00,2021-01-04 16:15:00,SELL,1939.255,1939.655,1936.055,1939.655,loss,-4.0,-0.4,-33.2,100066.4,1
98,2021-01-04 16:17:00,2021-01-04 16:17:00,SELL,1938.376,1938.776,1935.176,1938.776,loss,-4.0,-0.4,-33.2,100033.2,1
99,2021-01-04 16:20:00,2021-01-04 16:20:00,SELL,1940.418,1940.818,1937.218,1940.818,loss,-4.0,-0.4,-33.2,100000.0,1
100,2021-01-04 16:22:00,2021-01-04 16:22:00,SELL,1941.175,1941.575,1937.975,1941.575,loss,-4.0,-0.4,-33.2,99966.8,1
101,2021-01-04 16:25:00,2021-01-04 16:30:00,SELL,1941.408,1941.808,1938.208,1941.808,loss,-4.0,-0.4,-33.2,99933.6,6
102,2021-01-04 16:32:00,2021-01-04 16:47:00,SELL,1941.128,1941.528,1937.928,1941.528,loss,-4.0,-0.4,-33.2,99900.4,16
103,2021-01-04 16:49:00,2021-01-04 16:50:00,SELL,1941.175,1941.575,1937.975,1941.575,loss,-4.0,-0.4,-33.2,99867.2,2
104,2021-01-04 16:53:00,2021-01-04 16:54:00,SELL,1941.03,1941.43,1937.83,1941.43,loss,-4.0,-0.4,-33.2,99834.0,2
105,2021-01-04 16:57:00,2021-01-04 17:11:00,SELL,1941.59,1941.99,1938.39,1938.39,win,32.0,3.2,265.6,100099.6,15
106,2021-01-04 17:15:00,2021-01-04 17:18:00,SELL,1936.908,1937.308,1933.708,1933.708,win,32.0,3.2,265.6,100365.2,4
107,2021-01-04 17:20:00,2021-01-04 17:20:00,SELL,1933.975,1934.375,1930.775,1934.375,loss,-4.0,-0.4,-33.2,100332.0,1
108,2021-01-04 17:22:00,2021-01-04 17:24:00,SELL,1934.378,1934.778,1931.178,1934.778,loss,-4.0,-0.4,-33.2,100298.8,3
109,2021-01-04 17:26:00,2021-01-04 17:27:00,SELL,1935.45,1935.85,1932.25,1935.85,loss,-4.0,-0.4,-33.2,100265.6,2
110,2021-01-04 17:31:00,2021-01-04 17:31:00,SELL,1936.408,1936.808,1933.208,1936.808,loss,-4.0,-0.4,-33.2,100232.4,1
111,2021-01-04 17:34:00,2021-01-04 17:34:00,SELL,1936.265,1936.665,1933.065,1936.665,loss,-4.0,-0.4,-33.2,100199.2,1
112,2021-01-04 17:39:00,2021-01-04 17:39:00,SELL,1933.928,1934.328,1930.728,1934.328,loss,-4.0,-0.4,-33.2,100166.0,1
113,2021-01-04 17:41:00,2021-01-04 17:41:00,SELL,1933.415,1933.815,1930.215,1933.815,loss,-4.0,-0.4,-33.2,100132.8,1
114,2021-01-04 17:46:00,2021-01-04 17:46:00,SELL,1934.948,1935.348,1931.748,1935.348,loss,-4.0,-0.4,-33.2,100099.6,1
115,2021-01-04 17:48:00,2021-01-04 17:51:00,SELL,1935.608,1936.008,1932.408,1936.008,loss,-4.0,-0.4,-33.2,100066.4,4
116,2021-01-04 17:53:00,2021-01-04 17:54:00,SELL,1936.265,1936.665,1933.065,1936.665,loss,-4.0,-0.4,-33.2,100033.2,2
117,2021-01-04 17:56:00,2021-01-04 17:58:00,SELL,1936.785,1937.185,1933.585,1937.185,loss,-4.0,-0.4,-33.2,100000.0,3
118,2021-01-04 18:00:00,2021-01-04 18:00:00,SELL,1936.938,1937.338,1933.738,1937.338,loss,-4.0,-0.4,-33.2,99966.8,1
119,2021-01-04 18:13:00,2021-01-04 18:13:00,SELL,1941.148,1941.548,1937.948,1941.548,loss,-4.0,-0.4,-33.2,99933.6,1
120,2021-01-04 18:16:00,2021-01-04 18:17:00,SELL,1942.06,1942.46,1938.86,1942.46,loss,-4.0,-0.4,-33.2,99900.4,2
121,2021-01-04 18:18:00,2021-01-04 18:24:00,SELL,1941.44,1941.84,1938.24,1941.84,loss,-4.0,-0.4,-33.2,99867.2,7
122,2021-01-04 18:28:00,2021-01-04 18:29:00,SELL,1941.98,1942.38,1938.78,1942.38,loss,-4.0,-0.4,-33.2,99834.0,2
123,2021-01-04 18:31:00,2021-01-04 18:35:00,SELL,1941.505,1941.905,1938.305,1941.905,loss,-4.0,-0.4,-33.2,99800.8,5
124,2021-01-04 18:37:00,2021-01-04 18:51:00,SELL,1942.035,1942.435,1938.835,1942.435,loss,-4.0,-0.4,-33.2,99767.6,15
125,2021-01-04 18:54:00,2021-01-04 18:55:00,SELL,1942.135,1942.535,1938.935,1942.535,loss,-4.0,-0.4,-33.2,99734.4,2
126,2021-01-04 18:57:00,2021-01-04 18:58:00,SELL,1942.485,1942.885,1939.285,1942.885,loss,-4.0,-0.4,-33.2,99701.2,2
127,2021-01-04 19:01:00,2021-01-04 19:09:00,SELL,1942.875,1943.275,1939.675,1939.675,win,32.0,3.2,265.6,99966.8,9
128,2021-01-04 19:10:00,2021-01-04 19:10:00,SELL,1939.295,1939.695,1936.095,1939.695,loss,-4.0,-0.4,-33.2,99933.6,1
129,2021-01-04 19:16:00,2021-01-04 19:16:00,SELL,1940.688,1941.088,1937.488,1941.088,loss,-4.0,-0.4,-33.2,99900.4,1
130,2021-01-04 19:21:00,2021-01-04 19:24:00,SELL,1941.068,1941.468,1937.868,1941.468,loss,-4.0,-0.4,-33.2,99867.2,4
131,2021-01-04 19:25:00,2021-01-04 19:52:00,SELL,1940.558,1940.958,1937.358,1940.958,loss,-4.0,-0.4,-33.2,99834.0,28
132,2021-01-04 19:56:00,2021-01-04 19:56:00,SELL,1941.668,1942.068,1938.468,1942.068,loss,-4.0,-0.4,-33.2,99800.8,1
133,2021-01-04 19:59:00,2021-01-04 20:10:00,SELL,1942.098,1942.498,1938.898,1942.498,loss,-4.0,-0.4,-33.2,99767.6,12
134,2021-01-04 20:12:00,2021-01-04 20:12:00,SELL,1941.925,1942.325,1938.725,1942.325,loss,-4.0,-0.4,-33.2,99734.4,1
135,2021-01-04 20:14:00,2021-01-04 20:27:00,SELL,1941.388,1941.788,1938.188,1941.788,loss,-4.0,-0.4,-33.2,99701.2,14
136,2021-01-04 20:29:00,2021-01-04 20:34:00,SELL,1941.625,1942.025,1938.425,1942.025,loss,-4.0,-0.4,-33.2,99668.0,6
137,2021-01-04 20:36:00,2021-01-04 20:41:00,SELL,1942.165,1942.565,1938.965,1942.565,loss,-4.0,-0.4,-33.2,99634.8,6
138,2021-01-04 20:53:00,2021-01-04 20:54:00,SELL,1943.188,1943.588,1939.988,1943.588,loss,-4.0,-0.4,-33.2,99601.6,2
139,2021-01-04 20:56:00,2021-01-04 20:58:00,SELL,1943.175,1943.575,1939.975,1943.575,loss,-4.0,-0.4,-33.2,99568.4,3
140,2021-01-04 21:00:00,2021-01-04 23:16:00,SELL,1943.538,1943.938,1940.338,1943.938,loss,-4.0,-0.4,-33.2,99535.2,77
141,2021-01-04 23:20:00,2021-01-04 23:21:00,SELL,1944.675,1945.075,1941.475,1945.075,loss,-4.0,-0.4,-33.2,99502.0,2
142,2021-01-04 23:23:00,2021-01-04 23:48:00,SELL,1945.155,1945.555,1941.955,1941.955,win,32.0,3.2,265.6,99767.6,26
143,2021-01-04 23:58:00,2021-01-05 00:41:00,SELL,1941.408,1941.808,1938.208,1938.208,win,32.0,3.2,265.6,100033.2,44
144,2021-01-05 00:47:00,2021-01-05 01:16:00,SELL,1938.778,1939.178,1935.578,1939.178,loss,-4.0,-0.4,-33.2,100000.0,30
145,2021-01-05 01:19:00,2021-01-05 01:47:00,SELL,1938.935,1939.335,1935.735,1935.735,win,32.0,3.2,265.6,100265.6,29
146,2021-01-05 01:54:00,2021-01-05 02:30:00,SELL,1938.338,1938.738,1935.138,1938.738,loss,-4.0,-0.4,-33.2,100232.4,37
147,2021-01-05 02:32:00,2021-01-05 02:57:00,SELL,1938.869,1939.269,1935.669,1939.269,loss,-4.0,-0.4,-33.2,100199.2,26
148,2021-01-05 03:00:00,2021-01-05 03:04:00,SELL,1939.305,1939.705,1936.105,1939.705,loss,-4.0,-0.4,-33.2,100166.0,5
149,2021-01-05 03:07:00,2021-01-05 03:10:00,SELL,1939.488,1939.888,1936.288,1939.888,loss,-4.0,-0.4,-33.2,100132.8,4
150,2021-01-05 03:14:00,2021-01-05 03:14:00,SELL,1940.495,1940.895,1937.295,1940.895,loss,-4.0,-0.4,-33.2,100099.6,1
151,2021-01-05 03:20:00,2021-01-05 03:20:00,SELL,1942.848,1943.248,1939.648,1943.248,loss,-4.0,-0.4,-33.2,100066.4,1
152,2021-01-05 03:23:00,2021-01-05 04:11:00,SELL,1942.598,1942.998,1939.398,1939.398,win,32.0,3.2,265.6,100332.0,49
153,2021-01-05 04:19:00,2021-01-05 04:19:00,SELL,1938.258,1938.658,1935.058,1938.658,loss,-4.0,-0.4,-33.2,100298.8,1
154,2021-01-05 04:21:00,2021-01-05 04:21:00,SELL,1938.528,1938.928,1935.328,1938.928,loss,-4.0,-0.4,-33.2,100265.6,1
155,2021-01-05 04:24:00,2021-01-05 04:37:00,SELL,1938.888,1939.288,1935.688,1939.288,loss,-4.0,-0.4,-33.2,100232.4,14
156,2021-01-05 04:40:00,2021-01-05 04:42:00,SELL,1940.025,1940.425,1936.825,1940.425,loss,-4.0,-0.4,-33.2,100199.2,3
157,2021-01-05 04:44:00,2021-01-05 04:46:00,SELL,1939.908,1940.308,1936.708,1940.308,loss,-4.0,-0.4,-33.2,100166.0,3
158,2021-01-05 04:48:00,2021-01-05 05:17:00,SELL,1940.038,1940.438,1936.838,1940.438,loss,-4.0,-0.4,-33.2,100132.8,30
159,2021-01-05 05:19:00,2021-01-05 05:19:00,SELL,1939.925,1940.325,1936.725,1940.325,loss,-4.0,-0.4,-33.2,100099.6,1
160,2021-01-05 05:21:00,2021-01-05 06:03:00,SELL,1940.108,1940.508,1936.908,1936.908,win,32.0,3.2,265.6,100365.2,43
161,2021-01-05 06:09:00,2021-01-05 06:11:00,SELL,1937.348,1937.748,1934.148,1937.748,loss,-4.0,-0.4,-33.2,100332.0,3
162,2021-01-05 06:14:00,2021-01-05 06:16:00,SELL,1937.475,1937.875,1934.275,1937.875,loss,-4.0,-0.4,-33.2,100298.8,3
163,2021-01-05 06:18:00,2021-01-05 06:20:00,SELL,1937.975,1938.375,1934.775,1938.375,loss,-4.0,-0.4,-33.2,100265.6,3
164,2021-01-05 06:23:00,2021-01-05 06:33:00,SELL,1939.525,1939.925,1936.325,1939.925,loss,-4.0,-0.4,-33.2,100232.4,11
165,2021-01-05 06:39:00,2021-01-05 06:43:00,SELL,1941.398,1941.798,1938.198,1941.798,loss,-4.0,-0.4,-33.2,100199.2,5
166,2021-01-05 06:45:00,2021-01-05 06:46:00,SELL,1941.215,1941.615,1938.015,1941.615,loss,-4.0,-0.4,-33.2,100166.0,2
167,2021-01-05 06:49:00,2021-01-05 06:50:00,SELL,1941.485,1941.885,1938.285,1941.885,loss,-4.0,-0.4,-33.2,100132.8,2
168,2021-01-05 06:52:00,2021-01-05 07:19:00,SELL,1941.185,1941.585,1937.985,1941.585,loss,-4.0,-0.4,-33.2,100099.6,28
169,2021-01-05 07:25:00,2021-01-05 07:25:00,SELL,1942.565,1942.965,1939.365,1942.965,loss,-4.0,-0.4,-33.2,100066.4,1
170,2021-01-05 07:29:00,2021-01-05 07:29:00,SELL,1943.185,1943.585,1939.985,1943.585,loss,-4.0,-0.4,-33.2,100033.2,1
171,2021-01-05 07:34:00,2021-01-05 07:48:00,SELL,1943.395,1943.795,1940.195,1940.195,win,32.0,3.2,265.6,100298.8,15
172,2021-01-05 07:53:00,2021-01-05 07:54:00,SELL,1940.598,1940.998,1937.398,1940.998,loss,-4.0,-0.4,-33.2,100265.6,2
173,2021-01-05 07:56:00,2021-01-05 07:56:00,SELL,1940.645,1941.045,1937.445,1941.045,loss,-4.0,-0.4,-33.2,100232.4,1
174,2021-01-05 08:00:00,2021-01-05 08:00:00,SELL,1939.598,1939.998,1936.398,1939.998,loss,-4.0,-0.4,-33.2,100199.2,1
175,2021-01-05 08:02:00,2021-01-05 08:05:00,SELL,1941.048,1941.448,1937.848,1941.448,loss,-4.0,-0.4,-33.2,100166.0,4
176,2021-01-05 08:09:00,2021-01-05 09:05:00,SELL,1942.979,1943.379,1939.779,1943.379,loss,-4.0,-0.4,-33.2,100132.8,57
177,2021-01-05 09:08:00,2021-01-05 09:27:00,SELL,1944.195,1944.595,1940.995,1944.595,loss,-4.0,-0.4,-33.2,100099.6,20
178,2021-01-05 09:30:00,2021-01-05 09:30:00,SELL,1944.238,1944.638,1941.038,1944.638,loss,-4.0,-0.4,-33.2,100066.4,1
179,2021-01-05 09:32:00,2021-01-05 09:35:00,SELL,1943.705,1944.105,1940.505,1944.105,loss,-4.0,-0.4,-33.2,100033.2,4
180,2021-01-05 09:40:00,2021-01-05 09:41:00,SELL,1944.905,1945.305,1941.705,1945.305,loss,-4.0,-0.4,-33.2,100000.0,2
181,2021-01-05 09:44:00,2021-01-05 09:45:00,SELL,1945.608,1946.008,1942.408,1946.008,loss,-4.0,-0.4,-33.2,99966.8,2
